Date,Timestamp,Open,High,Low,Close,Volume
20230922,10:00:00,14841.9,14858.4,14825.1,14835.9,1755
20230922,10:15:00,14835.6,14856.3,14825.5,14853.4,2003
20230922,10:30:00,14853.8,14869.9,14842.9,14846.6,1682
20230922,10:45:00,14845.1,14849.8,14819.4,14820.6,1422
20230922,11:00:00,14820.0,14837.4,14814.6,14834.4,1536
20230922,11:15:00,14834.0,14855.1,14828.1,14848.8,1293
20230922,11:30:00,14849.9,14863.4,14844.1,14862.0,1233
20230922,11:45:00,14861.4,14865.9,14849.9,14851.1,1181
20230922,12:00:00,14851.5,14853.4,14825.0,14825.4,1414
20230922,12:15:00,14825.1,14828.1,14779.4,14787.3,1891
20230922,12:30:00,14787.9,14787.9,14755.6,14761.6,1932
20230922,12:45:00,14761.3,14775.4,14752.4,14758.8,1744
20230922,13:00:00,14758.4,14767.0,14723.6,14724.1,1800
20230922,13:15:00,14724.4,14750.9,14709.5,14732.0,1978
20230922,13:30:00,14731.4,14739.9,14716.9,14720.4,1879
20230922,13:45:00,14720.1,14740.9,14716.1,14733.5,1786
20230922,14:00:00,14732.8,14802.9,14728.4,14795.4,2633
20230922,14:15:00,14795.8,14821.0,14789.1,14794.4,1964
20230922,14:30:00,14794.9,14803.1,14738.6,14740.4,2304
20230922,14:45:00,14740.0,14750.4,14695.6,14710.1,3268
20230922,15:00:00,14709.5,14734.2,14708.5,14730.3,235
20230922,15:15:00,14729.5,14732.2,14723.8,14726.5,60
20230922,15:30:00,14727.7,14730.7,14719.3,14721.0,68
20230922,15:45:00,14722.0,14724.2,14713.6,14718.3,85
20230924,17:00:00,14729.8,14748.0,14729.8,14746.9,554
20230924,17:15:00,14746.3,14757.3,14744.0,14755.7,180
20230924,17:30:00,14756.4,14756.4,14745.3,14745.7,73
20230924,17:45:00,14746.1,14748.4,14743.5,14743.5,72
20230924,18:00:00,14743.8,14745.2,14737.5,14744.8,169
20230924,18:15:00,14744.3,14745.1,14734.9,14738.2,154
20230924,18:30:00,14738.6,14748.5,14738.6,14746.4,109
20230924,18:45:00,14746.6,14747.8,14738.8,14740.9,168
20230924,19:00:00,14740.6,14741.3,14723.0,14723.5,438
20230924,19:15:00,14724.2,14725.3,14710.5,14721.3,258
20230924,19:30:00,14721.3,14726.4,14719.5,14724.3,180
20230924,19:45:00,14723.5,14731.3,14723.5,14730.8,104
20230924,20:00:00,14729.8,14736.8,14729.8,14736.7,76
20230924,20:15:00,14738.9,14752.2,14737.9,14747.3,156
20230924,20:30:00,14746.4,14763.5,14744.5,14745.4,331
20230924,20:45:00,14745.3,14754.7,14744.3,14745.5,213
20230924,21:00:00,14746.4,14756.0,14743.7,14753.9,230
20230924,21:15:00,14754.1,14757.9,14750.8,14752.3,163
20230924,21:30:00,14752.5,14761.8,14752.5,14757.9,123
20230924,21:45:00,14758.7,14760.8,14756.8,14759.2,89
20230924,22:00:00,14758.6,14768.4,14757.0,14765.7,116
20230924,22:15:00,14764.9,14770.2,14762.3,14769.0,74
20230924,22:30:00,14768.3,14768.3,14760.0,14764.3,121
20230924,22:45:00,14765.0,14765.5,14761.3,14764.5,50
20230924,23:00:00,14764.3,14768.8,14763.3,14765.8,53
20230924,23:15:00,14765.0,14768.3,14763.8,14768.2,46
20230924,23:30:00,14767.5,14768.3,14759.3,14762.3,68
20230924,23:45:00,14763.0,14767.0,14762.2,14764.8,37
20230925,00:00:00,14764.0,14775.8,14761.3,14763.3,121
20230925,00:15:00,14763.1,14770.3,14762.9,14768.7,86
20230925,00:30:00,14768.0,14768.7,14761.8,14761.9,75
20230925,00:45:00,14762.1,14763.5,14754.5,14754.8,131
20230925,01:00:00,14754.6,14768.0,14749.4,14763.3,278
20230925,01:15:00,14764.6,14765.0,14751.6,14753.1,245
20230925,01:30:00,14753.2,14757.3,14748.6,14751.2,164
20230925,01:45:00,14752.2,14765.5,14751.8,14758.4,216
20230925,02:00:00,14757.4,14775.0,14756.8,14775.0,873
20230925,02:15:00,14775.8,14780.5,14771.8,14778.4,246
20230925,02:30:00,14778.3,14788.5,14770.9,14775.3,556
20230925,02:45:00,14774.8,14776.7,14761.9,14766.8,546
20230925,03:00:00,14766.7,14773.5,14752.2,14753.2,618
20230925,03:15:00,14753.1,14753.5,14706.5,14710.0,489
20230925,03:30:00,14709.3,14709.3,14640.3,14640.6,1240
